,School_ID,Short_Name,Long_Name,School_Type
0,609764,JUAREZ HS,Benito Juarez Community Academy High School,Neighborhood
2,400054,NOBLE - PRITZKER HS,Noble - Pritzker College Prep,Charter
4,609726,BROOKS HS,Gwendolyn Brooks College Preparatory Academy HS,Selective enrollment
6,400094,EPIC HS,EPIC Academy Charter High School,Charter
8,609755,YOUNG HS,Whitney M Young Magnet High School,Selective enrollment
10,609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,Magnet
12,610518,AUSTIN CCA HS,Austin College and Career Academy High School,Small
14,400077,U OF C - WOODLAWN HS,University of Chicago - Woodlawn,Charter
16,400056,NOBLE - ROWE CLARK HS,Noble - Rowe-Clark Math and Science Academy,Charter
18,610394,UPLIFT HS,Uplift Community High School,Small
20,400058,NORTH LAWNDALE - CHRISTIANA HS,North Lawndale College Prep - Christiana,Charter
22,609692,SIMEON HS,Neal F Simeon Career Academy High School,Career academy
24,610529,OGDEN HS,Ogden International High School,Neighborhood
26,610340,CHICAGO ACADEMY HS,Chicago Academy High School,Small
28,609744,NORTHSIDE LEARNING HS,Northside Learning Center High School,Special Education
30,609738,LINCOLN PARK HS,Lincoln Park High School,Neighborhood
32,609746,KENWOOD HS,Kenwood Academy High School,Neighborhood
34,609712,HIRSCH HS,Emil G Hirsch Metropolitan High School,Neighborhood
36,400010,ACE TECH HS,ACE Technical Charter School,Charter
37,400033,CICS - LONGWOOD,CICS - Longwood,Charter
39,609691,NORTH-GRAND HS,North-Grand High School,Neighborhood
41,609704,FARRAGUT HS,David G Farragut Career Academy High School,Neighborhood
43,400106,NOBLE - JOHNSON HS,Noble - John and Eunice Johnson College Prep,Charter
45,610245,DOUGLASS HS,Frederick A Douglass Academy High School,Neighborhood
47,609724,MATHER HS,Stephen T Mather High School,Neighborhood
49,400064,PERSPECTIVES - JOSLIN HS,Perspectives - Rodney D. Joslin,Charter
51,400055,NOBLE - RAUNER HS,Noble - Rauner College Prep,Charter
53,400105,URBAN PREP - BRONZEVILLE HS,Urban Prep Academy for Young Men - Bronzeville,Charter
